DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (px2)             0.0321214
Formation Factor (ratio)                16.9433861
Cementation Factor (ratio)              1.9621598
pore density (1/px3)                    0.0002908
Tortuosity (ratio)                      1.2430909
Average Coordination Number             4.742775
Average Throat Radius (px)              2.673661
Average Pore Radius (px)                5.13837
Average Throat Length (px)              15.4859619
Pore to Throat Aspect ratio             3.565485
Specific Surface (1/px)                 0.1543706
Pore Sphericity (ratio)                 0.6998004
Grain Sphericity (ratio)                0.8364815
Average Grain Radius (px)               8.2932272
Relative Young Module (ratio)           0.3068074

__________________________________________________
       ### Functions and distributions ###
__________________________________________________

0.76                                    3.7515192
0.77                                    3.8193252
0.78                                    3.8846381
0.79                                    3.9628217
0.8                                     4.0484619
0.81                                    4.1231837
0.82                                    4.201848
0.83                                    4.2822409
0.84                                    4.3623161
0.85                                    4.4488797
0.86                                    4.540626
0.87                                    4.6392994
0.88                                    4.7683406
0.89                                    4.8664994
0.9                                     4.9949827
0.91                                    5.1512723
0.92                                    5.3142877
0.93                                    5.4641376
0.94                                    5.6853762
0.95                                    5.8919868
0.96                                    6.1696887
0.97                                    6.5534773
0.98                                    7.0424132
0.99                                    7.871057
1.0                                     15.4681082


# Throat Lenght Distribution (px)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    6.1667724
0.02                                    6.7824178
0.03                                    7.233963
0.04                                    7.6212888
0.05                                    7.9235234
0.06                                    8.2202663
0.07                                    8.4906416
0.08                                    8.7437916
0.09                                    8.9903164
0.1                                     9.1904287
0.11                                    9.3870449
0.12                                    9.5360794
0.13                                    9.7055302
0.14                                    9.868927
0.15                                    10.0350065
0.16                                    10.2112675
0.17                                    10.365839
0.18                                    10.5222931
0.19                                    10.6542845
0.2                                     10.7963591
0.21                                    10.949131
0.22                                    11.0920362
0.23                                    11.242835
0.24                                    11.3822145
0.25                                    11.5310659
0.26                                    11.6670103
0.27                                    11.7996368
0.28                                    11.9498787
0.29                                    12.1060877
0.3                                     12.2402182
0.31                                    12.3596373
0.32                                    12.4986954
0.33                                    12.6412411
0.34                                    12.7787485
0.35                                    12.9213037
0.36                                    13.0430593
0.37                                    13.1690216
0.38                                    13.3022652
0.39                                    13.4355078
0.4                                     13.5380201
0.41                                    13.6514826
0.42                                    13.7612667
0.43                                    13.8728867
0.44                                    13.9900141
0.45                                    14.1327963
0.46                                    14.2885151
0.47                                    14.4095192
0.48                                    14.5660648
0.49                                    14.6962357
0.5                                     14.8501511
0.51                                    14.9707861
0.52                                    15.0938711
0.53                                    15.2090788
0.54                                    15.3378
0.55                                    15.4755135
0.56                                    15.6016655
0.57                                    15.7253933
0.58                                    15.8691607
0.59                                    16.0285835
0.6                                     16.1629982
0.61                                    16.3227997
0.62                                    16.505085
0.63                                    16.6518536
0.64                                    16.7915497
0.65                                    16.9464664
0.66                                    17.1150665
0.67                                    17.248003
0.68                                    17.4255371
0.69                                    17.571167
0.7                                     17.7774563
0.71                                    17.9374771
0.72                                    18.1377735
0.73                                    18.2832928
0.74                                    18.5082474
0.75                                    18.7004452
0.76                                    18.887804
0.77                                    19.0903263
0.78                                    19.3233681
0.79                                    19.5511951
0.8                                     19.7468243
0.81                                    19.9958649
0.82                                    20.2647934
0.83                                    20.5146103
0.84                                    20.7618084
0.85                                    21.0764332
0.86                                    21.3678684
0.87                                    21.6467495
0.88                                    22.0144939
0.89                                    22.3270969
0.9                                     22.6945286
0.91                                    23.1284447
0.92                                    23.5733681
0.93                                    24.1704521
0.94                                    24.7375851
0.95                                    25.4547977
0.96                                    26.178297
0.97                                    27.1271896
0.98                                    28.3291473
0.99                                    30.4338531
1.0                                     45.008522


# Pore Inscribed Radius Distribution (px)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    1.7320508
0.02                                    1.7320508
0.03                                    1.7320508
0.04                                    1.7320508
0.05                                    1.7320508
0.06                                    1.7320508
0.07                                    1.7320508
0.08                                    2.0
0.09                                    2.0
0.1                                     2.0
0.11                                    2.0
0.12                                    2.0
0.13                                    2.0
0.14                                    2.0
0.15                                    2.0
0.16                                    2.236068
0.17                                    2.236068
0.18                                    2.236068
0.19                                    2.236068
0.2                                     2.4494898
0.21                                    2.4494898
0.22                                    2.4494898
0.23                                    2.4494898
0.24                                    2.4494898
0.25                                    2.4494898
0.26                                    2.4494898
0.27                                    2.4494898
0.28                                    2.4494898
0.29                                    2.4494898
0.3                                     2.4494898
0.31                                    2.8284271
0.32                                    2.8284271
0.33                                    2.8284271
0.34                                    2.8284271
0.35                                    2.8284271
0.36                                    2.8284271
0.37                                    3.0
0.38                                    3.0
0.39                                    3.0
0.4                                     3.0
0.41                                    3.0
0.42                                    3.0
0.43                                    3.0
0.44                                    3.0
0.45                                    3.0
0.46                                    3.0
0.47                                    3.0
0.48                                    3.0
0.49                                    3.0
0.5                                     3.0
0.51                                    3.0
0.52                                    3.1622777
0.53                                    3.1622777
0.54                                    3.1622777
0.55                                    3.1622777
0.56                                    3.1622777
0.57                                    3.1622777
0.58                                    3.1622777
0.59                                    3.3166249
0.6                                     3.3166249
0.61                                    3.3166249
0.62                                    3.3166249
0.63                                    3.3166249
0.64                                    3.4641016
0.65                                    3.4641016
0.66                                    3.6055512
0.67                                    3.6055512
0.68                                    3.6055512
0.69                                    3.6055512
0.7                                     3.6055512
0.71                                    3.7416575
0.72                                    3.7416575
0.73                                    3.7416575
0.74                                    3.7416575
0.75                                    3.7416575
0.76                                    3.7416575
0.77                                    4.0
0.78                                    4.0
0.79                                    4.0
0.8                                     4.1231055
0.81                                    4.1231055
0.82                                    4.1231055
0.83                                    4.1231055
0.84                                    4.1231055
0.85                                    4.2426405
0.86                                    4.2426405
0.87                                    4.2426405
0.88                                    4.3588991
0.89                                    4.472136
0.9                                     4.5825758
0.91                                    4.5825758
0.92                                    4.6904159
0.93                                    4.8989797
0.94                                    5.0
0.95                                    5.0990195
0.96                                    5.1961522
0.97                                    5.3851647
0.98                                    5.8309517
0.99                                    6.4031243
1.0                                     8.6602545


# Throat Inscribed Radius Distribution (px)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    1.0
0.02                                    1.0
0.03                                    1.0
0.04                                    1.0
0.05                                    1.0
0.06                                    1.0
0.07                                    1.0
0.08                                    1.0
0.09                                    1.0
0.1                                     1.0
0.11                                    1.0
0.12                                    1.0
0.13                                    1.0
0.14                                    1.0
0.15                                    1.0
0.16                                    1.0
0.17                                    1.0
0.18                                    1.0
0.19                                    1.0
0.2                                     1.0
0.21                                    1.0
0.22                                    1.0
0.23                                    1.0
0.24                                    1.0
0.25                                    1.0
0.26                                    1.0
0.27                                    1.0
0.28                                    1.0
0.29                                    1.4142135
0.3                                     1.4142135
0.31                                    1.4142135
0.32                                    1.4142135
0.33                                    1.4142135
0.34                                    1.4142135
0.35                                    1.4142135
0.36                                    1.4142135
0.37                                    1.4142135
0.38                                    1.4142135
0.39                                    1.4142135
0.4                                     1.4142135
0.41                                    1.4142135
0.42                                    1.4142135
0.43                                    1.4142135
0.44                                    1.4142135
0.45                                    1.4142135
0.46                                    1.4142135
0.47                                    1.4142135
0.48                                    1.4142135
0.49                                    1.4142135
0.5                                     1.4142135
0.51                                    1.4142135
0.52                                    1.4142135
0.53                                    1.7320508
0.54                                    1.7320508
0.55                                    1.7320508
0.56                                    1.7320508
0.57                                    1.7320508
0.58                                    2.0
0.59                                    2.0
0.6                                     2.0
0.61                                    2.0
0.62                                    2.0
0.63                                    2.0
0.64                                    2.0
0.65                                    2.0
0.66                                    2.0
0.67                                    2.236068
0.68                                    2.236068
0.69                                    2.236068
0.7                                     2.236068
0.71                                    2.236068
0.72                                    2.236068
0.73                                    2.236068
0.74                                    2.236068
0.75                                    2.236068
0.76                                    2.236068
0.77                                    2.236068
0.78                                    2.236068
0.79                                    2.236068
0.8                                     2.236068
0.81                                    2.4494898
0.82                                    2.4494898
0.83                                    2.4494898
0.84                                    2.4494898
0.85                                    2.8284271
0.86                                    2.8284271
0.87                                    2.8284271
0.88                                    2.8284271
0.89                                    3.0
0.9                                     3.0
0.91                                    3.0
0.92                                    3.0
0.93                                    3.1622777
0.94                                    3.1622777
0.95                                    3.3166249
0.96                                    3.6055512
0.97                                    3.7416575
0.98                                    4.1231055
0.99                                    4.3588991
1.0                                     8.1240387


# Throat Average Distance (px)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    1.0
0.02                                    1.0
0.03                                    1.0
0.04                                    1.0
0.05                                    1.0
0.06                                    1.0
0.07                                    1.0
0.08                                    1.0
0.09                                    1.0
0.1                                     1.0
0.11                                    1.0
0.12                                    1.0
0.13                                    1.0
0.14                                    1.0
0.15                                    1.0
0.16                                    1.0
0.17                                    1.0
0.18                                    1.0
0.19                                    1.0
0.2                                     1.0
0.21                                    1.0
0.22                                    1.0
0.23                                    1.0
0.24                                    1.0
0.25                                    1.0
0.26                                    1.0
0.27                                    1.0
0.28                                    1.0
0.29                                    1.0276142
0.3                                     1.0376558
0.31                                    1.0460237
0.32                                    1.0517766
0.33                                    1.0552285
0.34                                    1.0591733
0.35                                    1.0690356
0.36                                    1.0720371
0.37                                    1.0776651
0.38                                    1.0828427
0.39                                    1.08876
0.4                                     1.0920475
0.41                                    1.1035534
0.42                                    1.1035534
0.43                                    1.1104891
0.44                                    1.1183467
0.45                                    1.1242641
0.46                                    1.1325483
0.47                                    1.1380712
0.48                                    1.1401559
0.49                                    1.1506231
0.5                                     1.1592604
0.51                                    1.1656854
0.52                                    1.1728064
0.53                                    1.181101
0.54                                    1.191105
0.55                                    1.202558
0.56                                    1.2071068
0.57                                    1.2127925
0.58                                    1.2227577
0.59                                    1.2301186
