DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             1.1405379
Formation Factor (ratio)                14.7386634
Cementation Factor (ratio)              1.9042206
pore density (1/um3)                    1.7e-06
Tortuosity (ratio)                      1.2443834
Average Coordination Number             4.478728
Average Throat Radius (um)              15.0556575
Average Pore Radius (um)                26.9941965
Average Throat Length (um)              85.5445165
Pore to Throat Aspect ratio             3.4341114
Specific Surface (1/um)                 0.0254289
Pore Sphericity (ratio)                 0.7200877
Grain Sphericity (ratio)                0.8562742
Average Grain Radius (um)               45.2546802
Relative Young Module (ratio)           0.3019229

__________________________________________________
       ### Functions and distributions ###
__________________________________________________

0.4                                     2.3460491
0.41                                    2.3319976
0.42                                    2.505626
0.43                                    2.6872184
0.44                                    2.6342004
0.45                                    2.480387
0.46                                    2.7183052
0.47                                    2.6287227
0.48                                    2.6203889
0.49                                    3.1453754
0.5                                     3.0280478
0.51                                    3.2640606
0.52                                    2.7650543
0.53                                    2.9990668
0.54                                    3.2061232
0.55                                    3.0808055
0.56                                    3.3973885
0.57                                    3.1258599
0.58                                    3.3008774
0.59                                    3.2695831
0.6                                     3.6426055
0.61                                    3.2975989
0.62                                    3.8371159
0.63                                    3.6686121
0.64                                    3.7217923
0.65                                    3.9774323
0.66                                    3.83454
0.67                                    4.4140901
0.68                                    4.2701302
0.69                                    3.9397149
0.7                                     3.7246219
0.71                                    4.4318582
0.72                                    4.0365575
0.73                                    4.7079271
0.74                                    4.7701823
0.75                                    4.8166744
0.76                                    4.2326726
0.77                                    4.5237092
0.78                                    4.6292807
0.79                                    4.9570564
0.8                                     4.9296828
0.81                                    5.1941928
0.82                                    5.649969
0.83                                    5.3299156
0.84                                    5.98992
0.85                                    5.8361268
0.86                                    5.8433865
0.87                                    5.7447893
0.88                                    5.8350423
0.89                                    6.0542885
0.9                                     6.2927278
0.91                                    6.5166473
0.92                                    6.2864376
0.93                                    5.9032199
0.94                                    6.6438935
0.95                                    8.2350089
0.96                                    8.0410388
0.97                                    8.8394306
0.98                                    9.599965
0.99                                    11.7806433
1.0                                     19.3463713


# Throat Lenght Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    6.6467978
0.02                                    7.3660367
0.03                                    8.1901261
0.04                                    8.3860803
0.05                                    8.7225762
0.06                                    8.7843764
0.07                                    8.914213
0.08                                    9.5651585
0.09                                    9.2853401
0.1                                     10.2918323
0.11                                    10.6093307
0.12                                    11.1579261
0.13                                    11.3091007
0.14                                    10.8064065
0.15                                    11.3345961
0.16                                    10.7374581
0.17                                    11.4954347
0.18                                    11.2896791
0.19                                    11.4923361
0.2                                     12.77389
0.21                                    13.0085238
0.22                                    13.0258299
0.23                                    13.3979543
0.24                                    12.6726379
0.25                                    13.6798467
0.26                                    13.7852326
0.27                                    13.6086893
0.28                                    13.6448235
0.29                                    12.5929619
0.3                                     14.4008813
0.31                                    12.750805
0.32                                    13.2786001
0.33                                    14.4357647
0.34                                    14.8689336
0.35                                    13.1823891
0.36                                    15.3030205
0.37                                    14.1907515
0.38                                    13.6370487
0.39                                    13.45525
0.4                                     16.0232899
0.41                                    13.94756
0.42                                    15.4730066
0.43                                    15.4134888
0.44                                    16.4113937
0.45                                    16.4898794
0.46                                    17.1668616
0.47                                    15.8082659
0.48                                    16.3989463
0.49                                    16.5453617
0.5                                     16.7393355
0.51                                    16.9511282
0.52                                    17.9055162
0.53                                    17.8822973
0.54                                    17.6375873
0.55                                    16.8588318
0.56                                    20.1954917
0.57                                    18.3606319
0.58                                    20.0022429
0.59                                    20.7450999
0.6                                     19.162046
0.61                                    18.908108
0.62                                    20.6732685
0.63                                    19.5499687
0.64                                    20.3901726
0.65                                    18.8570318
0.66                                    21.371931
0.67                                    18.5606487
0.68                                    22.0248178
0.69                                    21.1463299
0.7                                     21.2511425
0.71                                    20.9163356
0.72                                    23.3171088
0.73                                    22.1530057
0.74                                    21.0339462
0.75                                    19.85953
0.76                                    21.735898
0.77                                    23.6081654
0.78                                    24.748455
0.79                                    23.120932
0.8                                     22.3620114
0.81                                    24.9061287
0.82                                    24.1392995
0.83                                    23.7308396
0.84                                    24.5833275
0.85                                    24.4678383
0.86                                    26.6155902
0.87                                    25.2648972
0.88                                    26.8925813
0.89                                    28.9425468
0.9                                     28.7650761
0.91                                    25.1114046
0.92                                    27.355653
0.93                                    27.5166598
0.94                                    32.7571944
0.95                                    32.4269785
0.96                                    32.2888495
0.97                                    37.272242
0.98                                    35.2347737
0.99                                    40.7860541
1.0                                     61.1953909


# Pore Inscribed Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    1.7967216
0.02                                    1.8638675
0.03                                    1.8896679
0.04                                    1.9557239
0.05                                    1.9996299
0.06                                    2.0278694
0.07                                    2.134995
0.08                                    2.1236954
0.09                                    2.2294649
0.1                                     2.2999953
0.11                                    2.2409715
0.12                                    2.3511107
0.13                                    2.4267463
0.14                                    2.3511655
0.15                                    2.3764022
0.16                                    2.3978045
0.17                                    2.6790368
0.18                                    2.4928668
0.19                                    2.50815
0.2                                     2.4940507
0.21                                    2.621842
0.22                                    2.5957605
0.23                                    2.6676758
0.24                                    2.5244762
0.25                                    2.6359229
0.26                                    2.8163699
0.27                                    2.7717841
0.28                                    2.8775304
0.29                                    2.9092375
0.3                                     2.9098951
0.31                                    2.8801338
0.32                                    2.9669814
0.33                                    3.1332958
0.34                                    3.049953
0.35                                    3.0934
0.36                                    3.0534757
0.37                                    3.0883856
0.38                                    3.0535551
0.39                                    3.0310771
0.4                                     3.2573235
0.41                                    3.318023
0.42                                    3.320331
0.43                                    3.1036236
0.44                                    3.5525448
0.45                                    3.5203538
0.46                                    3.3997293
0.47                                    3.5220666
0.48                                    3.1711055
0.49                                    3.4414475
0.5                                     3.570701
0.51                                    3.687286
0.52                                    3.4983056
